id	book	chapter	denomination	anger	disgust	fear	joy	sadness	openness	conscientiousness	extraversion	agreeableness	emotional_range	wc
308	Ephesians	5	Baptist	0.201999	0.109477	0.118308	0.571365	0.511894	0.82816	0.797697	0.086555	0.481789	0.715841	2504
309	Colossians	1	Evangelical Free	0.138362	0.167387	0.122621	0.51232	0.494618	0.902521	0.749837	0.204653	0.498606	0.748506	2726
310	Mark	12	Episcopal	0.139572	0.142567	0.13107	0.546637	0.54895	0.803503	0.978148	0.290855	0.928498	0.659814	2302
311	Luke	2	Episcopal	0.161463	0.135667	0.115501	0.501965	0.537792	0.882975	0.912991	0.299206	0.957481	0.673836	2551
312	Luke	1	Foursquare	0.087985	0.102199	0.135642	0.599739	0.215382	0.784412	0.906142	0.293323	0.914237	0.705063	2486
313	Philippians	3	Baptist	0.08799	0.113009	0.116187	0.561879	0.524381	0.905544	0.647907	0.125686	0.832004	0.613894	2305
314	Luke	14	Assembly Of God	0.188182	0.135507	0.164954	0.125695	0.567081	0.873308	0.232635	0.070093	0.680197	0.572956	2034
315	Luke	11	Episcopal	0.141886	0.122425	0.144532	0.539103	0.571916	0.781237	0.846156	0.125165	0.842432	0.609913	1708
316	Luke	12	Episcopal	0.157579	0.159837	0.150542	0.516345	0.540682	0.874083	0.837665	0.127421	0.657597	0.515243	1859
317	Luke	2	Christian/Church Of Christ	0.074168	0.094002	0.096805	0.593702	0.608452	0.628024	0.515144	0.211025	0.892732	0.447615	2114
318	Matthew	1	Baptist	0.134891	0.119648	0.122574	0.519324	0.500117	0.928523	0.322747	0.452581	0.772938	0.612662	2505
319	John	14	Foursquare	0.136494	0.14571	0.204399	0.489398	0.542127	0.769936	0.960606	0.06144	0.87686	0.720274	2435
320	Job	35	Calvary Chapel	0.168334	0.524182	0.119393	0.482802	0.5306	0.87995	0.762324	0.105702	0.605314	0.631079	3324
321	1 Samuel	10	Methodist	0.159964	0.179426	0.127214	0.509788	0.515394	0.895494	0.841847	0.311547	0.555343	0.779339	952
322	Psalms	61	Nazarene	0.1335	0.119905	0.121375	0.480968	0.587334	0.661082	0.729532	0.062965	0.765335	0.537049	1989
323	Proverbs	14	Nazarene	0.144964	0.143825	0.108641	0.558911	0.491653	0.628089	0.958556	0.318482	0.836009	0.705082	2287
324	Matthew	7	Nazarene	0.154114	0.475223	0.116223	0.482923	0.504904	0.842321	0.865552	0.403606	0.635218	0.616773	2236
325	Isaiah	11	Anglican	0.115683	0.116164	0.099138	0.540849	0.548543	0.870546	0.819063	0.070634	0.53047	0.677935	832
326	Isaiah	55	Nazarene	0.17064	0.165131	0.154248	0.57583	0.529224	0.857012	0.930748	0.085887	0.652947	0.686357	1654
327	John	15	Nazarene	0.14861	0.118973	0.084974	0.548612	0.561535	0.698314	0.955949	0.342925	0.923107	0.629454	1751
328	Matthew	7	Nazarene	0.165548	0.148891	0.159893	0.491876	0.571322	0.872037	0.81362	0.175892	0.472546	0.625209	1896
329	Romans	15	Nazarene	0.103432	0.129628	0.117991	0.542044	0.57672	0.847146	0.913916	0.062917	0.84368	0.714347	2239
330	Galatians	3	Assembly Of God	0.153013	0.113544	0.115007	0.626165	0.205369	0.848417	0.972971	0.363904	0.889483	0.808655	2930
331	Luke	1	Christian/Church Of Christ	0.11662	0.129743	0.62047	0.510323	0.502985	0.783101	0.716134	0.474952	0.98292	0.603687	2380
332	Mark	5	Baptist	0.121884	0.506086	0.1582	0.50436	0.587629	0.898657	0.505903	0.128346	0.704149	0.637154	390
333	John	1	Catholic	0.151154	0.464483	0.133033	0.547481	0.250207	0.925893	0.856112	0.36231	0.749207	0.713428	1141
334	Matthew	1	Pentecostal	0.106827	0.153354	0.121619	0.524852	0.550292	0.794118	0.719991	0.035719	0.868065	0.421064	948
335	Colossians	3	Presbyterian/Reformed	0.109285	0.111613	0.089996	0.643975	0.56818	0.77075	0.95107	0.493036	0.91811	0.78405	1328
336	Psalms	116	Assembly Of God	0.16898	0.155618	0.121011	0.517527	0.25956	0.665116	0.479232	0.346283	0.895347	0.824551	1552
337	Genesis	3	Presbyterian/Reformed	0.150871	0.153026	0.148189	0.471903	0.549869	0.702658	0.825047	0.185002	0.665521	0.727229	1329
338	Luke	5	Presbyterian/Reformed	0.140687	0.165474	0.176257	0.482922	0.491389	0.851298	0.45337	0.130294	0.583656	0.354846	1539
339	Matthew	1	Baptist	0.164635	0.4997	0.143814	0.469302	0.539161	0.930128	0.418964	0.510106	0.832462	0.508779	2879
340	Matthew	1	Baptist	0.120259	0.162425	0.130946	0.532036	0.507456	0.87045	0.530314	0.185592	0.790455	0.608354	2462
